"Break a leg","All the best."
"Piece of cake","बहुत आसान काम"
"Hit the sack","सोने जाना"
"Spill the beans","राज़ खोलना"
"Under the weather","बीमार महसूस करना"
"Cost an arm and a leg","बहुत महंगा होना"
"Burn the midnight oil","रातभर काम करना"
"Once in a blue moon","बहुत कम बार"
"Beat around the bush","घुमा-फिरा कर बात करना"
"Hit the nail on the head","बिलकुल सही बात कहना"
"Kick the bucket","मर जाना"
"Pull someone’s leg","मज़ाक उड़ाना"
"Let the cat out of the bag","राज़ खोल देना"
"Devil’s advocate","उलटी राय रखने वाला"
"Bite the bullet","कठिन परिस्थिति सहना"
"Back to square one","फिर से शुरुआत करना"
"On cloud nine","बहुत खुश होना"
"Call it a day","आज का काम खत्म करना"
"Cut corners","शॉर्टकट लेना"
"Throw in the towel","हार मान लेना"
"In hot water","मुसीबत में होना"
"Blow off steam","ग़ुस्सा निकालना"
"Hit the road","रवाना होना"
"By the book","नियमों के अनुसार"
"A blessing in disguise","छुपा हुआ लाभ"
"Burn bridges","रिश्ते तोड़ लेना"
"Break the ice","बातचीत की शुरुआत करना"
"Keep your chin up","हिम्मत बनाए रखना"
"Fish out of water","अनजान माहौल में असहज महसूस करना"
"Go the extra mile","अतिरिक्त मेहनत करना"
