"A dime a dozen","எங்கும் கிடைக்கும் / சாதாரணமானது"
"Bite off more than you can chew","செய்ய முடியாத அளவுக்கு பொறுப்பெடுத்துக்கொள்"
"Burn your fingers","தோல்வியால் பாதிக்கப்படுதல்"
"Cast in stone","மாறாத / நிரந்தரமாக நிர்ணயிக்கப்பட்டது"
"Climb the ladder","வாழ்க்கையில் முன்னேற்றம் அடை"
"Cross that bridge when you come to it","பிரச்சினை வந்தால் அதை சமாளிப்போம்"
"Fall on deaf ears","யாரும் கவனிக்காமல் விடுதல்"
"Food for thought","யோசிக்க வைக்கும் விஷயம்"
"Get ducks in a row","அனைத்தையும் ஒழுங்குபடுத்து"
"Hit the ceiling","கோபத்தில் வெடித்தல்"
"In black and white","எழுத்தில் உறுதி செய்யப்பட்ட"
"Keep at arm’s length","தொலைவில் வைத்திரு"
"Leap of faith","நம்பிக்கையுடன் முயற்சி செய்தல்"
"Miss the boat","வாய்ப்பை இழந்துவிடுதல்"
"Needle in a haystack","புல்லின் மேட்டில் ஊசியை தேடுவது"
"On the same wavelength","சம மனநிலையில் இருத்தல்"
"Out of the blue","எதிர்பாராமல் திடீரென நடந்தது"
"Play with fire","ஆபத்தான செயலில் ஈடுபடுதல்"
"Silver lining","கெட்ட நிலையில் நல்ல அம்சம்"
"Speak of the devil","பேசிக்கொண்டிருந்தவர் திடீரென வந்துவிடுதல்"
"Take with a pinch of salt","சற்றே சந்தேகத்துடன் நம்புதல்"
"Throw in the sponge","கை விட்டுவிடுதல் / ஒழிந்துவிடுதல்"
"Under one’s nose","கண்ணுக்கு தெரியும்படி நேரில் நடப்பது"
"Water under the bridge","கடந்த கால விஷயம் / மறந்து விட வேண்டியது"
"Wild goose chase","வெற்று முயற்சி / பயனற்ற தேடல்"
"Write off","முழுமையாக இழந்தது என்று கருதுதல்"
"Keep your cards close to your chest","உங்கள் திட்டத்தை வெளிப்படுத்தாமல் வைத்துக்கொள்"
"Jump the gun","அவசரப்பட்டு ஆரம்பித்தல்"
"Put all your cards on the table","உங்கள் யோசனைகளை நேராக வெளிப்படுத்து"
"Hit rock bottom","மிக மோசமான நிலையில் இருக்கிறேன்"
