"A blessing in disguise","దాగి ఉన్న మంచి ఫలితం"
"Add insult to injury","ఇప్పటికే ఉన్న సమస్యను మరింత కష్టతరం చేయడం"
"Back to the drawing board","మళ్ళీ కొత్తగా మొదలుపెట్టడం"
"Beat the clock","సమయం కంటే ముందే పూర్తి చేయడం"
"Break the bank","చాలా డబ్బు ఖర్చు కావడం"
"Burn the midnight oil","రాత్రి పగలు పని చేయడం"
"By the skin of your teeth","చాలా తక్కువ తేడాతో విజయవంతం అవ్వడం"
"Call the shots","నిర్ణయం తీసుకోవడం"
"Change of heart","మనసు మార్చుకోవడం"
"Cut to the chase","నేరుగా ముఖ్యమైన విషయానికి వెళ్లడం"
"Don’t cry wolf","అసలు సమస్య లేని సమయంలో అబద్ధపు హెచ్చరిక ఇవ్వడం"
"Fair and square","నిజాయితీగా / న్యాయంగా"
"Give the cold shoulder","అపేక్షించకపోవడం"
"Go down in flames","చెదురుమదురు విఫలమవ్వడం"
"Hang in there","ధైర్యంగా ఉండి కొనసాగించు"
"Hit the spot","బాగా నచ్చడం / కచ్చితంగా సరిపోవడం"
"In the nick of time","చివరి క్షణంలో"
"Keep your fingers crossed","అది సక్సెస్ అవ్వాలని ఆశపడటం"
"Leave no stone unturned","అన్ని ప్రయత్నాలు చేయడం"
"Light at the end of the tunnel","ప్రశ్నల తర్వాత ఆశ చూపించే పరిస్థితి"
"Make a long story short","చిన్నగా చెప్పడం"
"Not playing with a full deck","బుద్ధి తక్కువగా ఉండటం"
"Off the hook","సమస్య నుండి బయటపడటం"
"On the fence","నిర్ణయం తీసుకోకపోవడం"
"Out of the woods","ముఖ్యమైన ప్రమాదం నుంచి బయటపడటం"
"Read between the lines","లోపలి అర్థం గ్రహించడం"
"Ruffle someone’s feathers","వారిని కోపపెట్టడం"
"Skeletons in the closet","దాచిన రహస్యాలు"
"Steal someone’s thunder","ఇతరుల కీర్తిని తనదిగా చేసుకోవడం"
"The ballpark figure","అంచనా సంఖ్య"
