"नौ दो ग्यारह होना","ఎదురుగానే పారిపోవడం"
"ऊंट के मुँह में जीरा","ఒంటె నోట్లో జీలకర్ర"
"नाक कट जाना","ఇज्जత్తు పోవడం"
"नाक में दम करना","చాలా ఇబ్బంది పెట్టడం"
"तेल देखो तेल की धार देखो","ఏం జరుగుతుందో కాస్త ఆగి చూద్దాం"
"दूध का जला छाछ भी फूँक फूँक कर पीता है","పాలు కాలినవాడు మజ్జిగ కూడా ఊదుకుంటూ తాగుతాడు"
"आसमान से गिरा खजूर में अटका","ఒక సమస్యనుంచి బయటపడి ఇంకో సమస్యలో పడటం"
"थोथा चना बाजे घना","ఖాళీ డబ్బా ఎక్కువ శబ్దం చేస్తుంది"
"घर का भेदी लंका ढाए","ఇంటి ద్రోహి ఎక్కువ నష్టం చేస్తాడు"
"साँप भी मर जाए और लाठी भी न टूटे","రెండు ప్రయోజనాలు ఒకేసారి పొందడం"
"मन में लड्डू फूटना","మనసులో ఆనందం పొంగిపోవడం"
"खिसियानी बिल्ली खंभा नोचे","విఫలమైనవాడు కోపం చూపించడం"
"हाथ कंगन को आरसी क्या","సాక్ష్యం స్పష్టంగా ఉంటే వివరణ అవసరం లేదు"
"राम नाम सत्य है","జీవితం తాత్కాలికం"
"दाल में कुछ काला है","ఏదో గందరగోళం ఉంది"
"आम के आम गुठलियों के दाम","రెండు లాభాలు ఒకేసారి"
"अंधेर नगरी चौपट राजा","అన్యాయం నిండిన రాజ్యం"
"हाथ मलते रह जाना","విరక్తితో చేతులు మెల్లించడం"
"पलक झपकते ही","కన్ను జిప్పగానే"
"लोहे को लोहे से काटना","ఇనుమును ఇనుముతోనే కోయాలి"
"कुत्ते की दुम टेढ़ी की टेढ़ी","కుక్క వాలెప్పుడూ వంకరగానే ఉంటుంది"
"सिर मुँडाते ही ओले पड़ना","మొదలుపెట్టగానే సమస్యలు రావడం"
"भैंस के आगे बीन बजाना","గాడిద ముందు వీణ వాయించడం"
"एक तीर से दो शिकार","ఒక బండరాయితో రెండు పక్షులు"
"कागज़ी शेर","కాగితపు పులి"
"खून पसीना एक करना","చాలా కష్టపడి పని చేయడం"
"आँखों का तारा","కళ్లలో ముత్యం"
"चिराग तले अंधेरा","దీపం కింద చీకటి"
"मुँह में राम बगल में छुरी","నోట్లో మంచి మాటలు, మనసులో చెడు"
"ऊँट पहाड़ के नीचे","పెద్ద సమస్య ముందు చిన్నవాడిగా మారిపోవడం"
