"उंटाच्या तोंडात जीरं","ஒட்டகத்தின் வாயில் சீரகம்"
"नाकी नऊ आणणे","மூக்கை பிளந்துவிடும் அளவுக்கு தொந்தரவு கொடு"
"आगीतून फुफाट्यात पडणे","அக்கினியிலிருந்து விலகி ஆழ்குழியில் விழுதல்"
"थोतांडाचा पाटा मोठा","காலியான பானை அதிக சத்தம் செய்யும்"
"घरचा वैरी संकट ओढतो","வீட்டுக்குள்ளான பகைவர் தான் பெரும் ஆபத்து"
"सापही मेलं आणि काठीही तुटली नाही","பாம்பு சாவும் குச்சி உடையாது"
"दुधाने भाजलेला ताकही फुंकून पितो","பால் சுட்டவன் மோரையும் ஊதி குடிப்பான்"
"पळ काढणे","கால் தூக்கி ஓடிவிடுதல்"
"हात झटकणे","கைகளை சுத்தமாக கழுவிக் கொள்ளுதல்"
"दिवस ढकलणे","நாட்களை தள்ளிப்போடுதல்"
"गाढवापुढं वीणा वाजवणे","கழுதைக்கு வீணை வாசித்தல்"
"डोळा मिचकावता क्षणी","கண் சிமிட்டும் நேரத்தில்"
"कुत्र्याची शेपटी वाकडीची वाकडीच","நாயின் வால் எப்போதும் வளைந்தே இருக்கும்"
"कागदी वाघ","காகித புலி"
"प्राणपणाने मेहनत करणे","உயிரை வைத்துப் பாடுபடுதல்"
"डोळ्यातला तारा","கண்களின் மணிக்கட்டு"
"दीपाखाली अंधार","விளக்கின் கீழ் இருள்"
"तोंडावर राम, पोटात खंजीर","வாயில் ராமா, கையில் கத்தி"
"मोठ्या संकटासमोर लहान पडणे","பெரிய ஆபத்தில் சிறியது குன்றிவிடுதல்"
"पाय घसरला","கால் வழுக்கிவிழுதல்"
"दुधावरची साय खाणे","பால் மேலிருக்கும் கிரீம் சாப்பிடுதல்"
"ताटातलं खाऊन भांडणं","தட்டில் சாப்பிட்டு அதையே குத்துதல்"
"पाण्यातला पोहायला घाबरणं","நீரில் இருந்து முதலைக்குப் பயப்படுதல்"
"वाढता वाढे आणी घडता घडे","அதிகரித்தால் அதிகரிக்கும், வளர்ந்தால் வளரும்"
"डोळ्यांवर पट्टी बसणे","கண்களில் பட்டை கட்டிக் கொள்ளுதல்"
"खिसा रिकामा होणे","பையிலே காசில்லை"
"धन्य धन्य म्हणणे","ஆஹா என்று பாராட்டுதல்"
"चोराच्या उलट्या बोंबा","திருடன் காவல"उंटाच्या तोंडात जीरं","ஒட்டகத்தின் வாயில் சீரகம்"
"नाकी नऊ आणणे","மூக்கை பிளந்துவிடும் அளவுக்கு தொந்தரவு கொடு"
"आगीतून फुफाट्यात पडणे","அக்கினியிலிருந்து விலகி ஆழ்குழியில் விழுதல்"
"थोतांडाचा पाटा मोठा","காலியான பானை அதிக சத்தம் செய்யும்"
"घरचा वैरी संकट ओढतो","வீட்டுக்குள்ளான பகைவர் தான் பெரும் ஆபத்து"
"सापही मेलं आणि काठीही तुटली नाही","பாம்பு சாவும் குச்சி உடையாது"
"दुधाने भाजलेला ताकही फुंकून पितो","பால் சுட்டவன் மோரையும் ஊதி குடிப்பான்"
"पळ काढणे","கால் தூக்கி ஓடிவிடுதல்"
"हात झटकणे","கைகளை சுத்தமாக கழுவிக் கொள்ளுதல்"
"दिवस ढकलणे","நாட்களை தள்ளிப்போடுதல்"
"गाढवापुढं वीणा वाजवणे","கழுதைக்கு வீணை வாசித்தல்"
"डोळा मिचकावता क्षणी","கண் சிமிட்டும் நேரத்தில்"
"कुत्र्याची शेपटी वाकडीची वाकडीच","நாயின் வால் எப்போதும் வளைந்தே இருக்கும்"
"कागदी वाघ","காகித புலி"
"प्राणपणाने मेहनत करणे","உயிரை வைத்துப் பாடுபடுதல்"
"डोळ्यातला तारा","கண்களின் மணிக்கட்டு"
"दीपाखाली अंधार","விளக்கின் கீழ் இருள்"
"तोंडावर राम, पोटात खंजीर","வாயில் ராமா, கையில் கத்தி"
"मोठ्या संकटासमोर लहान पडणे","பெரிய ஆபத்தில் சிறியது குன்றிவிடுதல்"
"पाय घसरला","கால் வழுக்கிவிழுதல்"
"दुधावरची साय खाणे","பால் மேலிருக்கும் கிரீம் சாப்பிடுதல்"
"ताटातलं खाऊन भांडणं","தட்டில் சாப்பிட்டு அதையே குத்துதல்"
"पाण्यातला पोहायला घाबरणं","நீரில் இருந்து முதலைக்குப் பயப்படுதல்"
"वाढता वाढे आणी घडता घडे","அதிகரித்தால் அதிகரிக்கும், வளர்ந்தால் வளரும்"
"डोळ्यांवर पट्टी बसणे","கண்களில் பட்டை கட்டிக் கொள்ளுதல்"
"खिसा रिकामा होणे","பையிலே காசில்லை"
"धन्य धन्य म्हणणे","ஆஹா என்று பாராட்டுதல்"
"चोराच्या उलट्या बोंबा","திருடன் காவலரை திட்டுவது"
"उंटाला शेंगाची गाठ","ஒட்டகத்திற்கு சுண்டல்"
ரை திட்டுவது"
"उंटाला शेंगाची गाठ","ஒட்டகத்திற்கு சுண்டல்"
