"उंटाच्या तोंडात जीरं","ఒంటె నోరులో జీలకర్ర"
"नाकी नऊ आणणे","ముక్కు మూర్చేంత ఇబ్బంది పెట్టడం"
"आगीतून फुफाट्यात पडणे","మంటల నుంచి పొగలో పడటం"
"थोतांडाचा पाटा मोठा","ఖాళీ పాత్ర ఎక్కువ శబ్దం చేస్తుంది"
"घरचा वैरी संकट ओढतो","ఇంట్లోని శత్రువు పెద్ద ప్రమాదం"
"सापही मेलं आणि काठीही तुटली नाही","పాము చనిపోతుంది కానీ కర్ర విరగదు"
"दुधाने भाजलेला ताकही फुंकून पितो","పాలతో కాలినవాడు మజ్జిగ కూడా ఊది తాగుతాడు"
"पळ काढणे","కాలెత్తి పారిపోవడం"
"हात झटकणे","చేతులు కడుక్కోవడం (బాధ్యత తప్పించుకోవడం)"
"दिवस ढकलणे","రోజులు లాగడం"
"गाढवापुढं वीणा वाजवणे","గాడిద ముందు వీణ వాయించడం"
"डोळा मिचकावता क्षणी","కంటి రెప్ప పాడేలోపే"
"कुत्र्याची शेपटी वाकडीची वाकडीच","కుక్క తోక ఎప్పటికీ వంకరగానే ఉంటుంది"
"कागदी वाघ","కాగితం పులి"
"प्राणपणाने मेहनत करणे","ప్రాణం పెట్టి కష్టపడటం"
"डोळ्यातला तारा","కళ్లలోని తార"
"दीपाखाली अंधार","దీపం కింద చీకటి"
"तोंडावर राम, पोटात खंजीर","నోట్లో రామా, చేతిలో కత్తి"
"मोठ्या संकटासमोर लहान पडणे","పెద్ద కష్టంలో చిన్నది కనిపించకపోవడం"
"पाय घसरला","కాలు జారి పడటం"
"दुधावरची साय खाणे","పాలు మీద క్రీమ్ తినడం (అత్యుత్తమ భాగం తీసుకోవడం)"
"ताटातलं खाऊन भांडणं","తిన్న ప్లేట్ మీద గొడవ పెట్టడం"
"पाण्यातला पोहायला घाबरणं","నీటిలో ఉండి మొసలి భయపడటం"
"वाढता वाढे आणी घडता घडे","పెరుగుతుంటే పెరుగుతుంది, జరుగుతుంటే జరుగుతుంది"
"डोळ्यांवर पट्टी बसणे","కళ్లకు గంత కట్టుకోవడం"
"खिसा रिकामा होणे","జేబు ఖాళీ అవ్వడం"
"धन्य धन्य म्हणणे","అహా అని పొగడడం"
"चोराच्या उलट्या बोंबा","దొంగ కాపలాదారిని దూషించడం"
"उंटाला शेंगाची गाठ","ఒంటెకు శనగ గింజ"
